src	tgt	voc	tok	model	bleu	low_conf_bleu	high_conf_bleu	chrf	low_conf_chrf	high_conf_chrf	chrf++	low_conf_chrf++	high_conf_chrf++	comet	low_conf_comet	high_conf_comet	norm_comet	enc_layers	dec_layers	embs	ffw	params	PIES	ratio_ffw_embs	sum_layers	diff_enc_dec
deu	dsb	4000	bpe.nof	4_4_256_256_2	28.40623648	28.29109263	28.52138032	44.527	44.41324503	44.64097856	43.93952915	43.82858433	44.05047398	0.6292425632	0.628475961	0.6300091653	62.86061251	4	4	256	256	6268928	0.141	1.00	8	0
eng	mni	4000	bpe.nof	4_4_256_256_2	13.92628582	13.81694778	14.03562385	41.844	41.73357794	41.95419516	38.03030966	37.91919848	38.14142084	0.6791753486	0.6786104994	0.6797401978	67.89068777	4	4	256	256	6268928	0.150	1.00	8	0
eng	mni	4000	bpe.nof	4_2_256_1024_2	16.92730509	16.79332628	17.06128389	44.009	43.88482256	44.13218975	40.23765717	40.11167244	40.36364189	0.6901392057	0.6895407738	0.6907376377	68.98446731	4	2	256	1024	7313920	0.166	2.00	6	2
deu	dsb	4000	bpe.nof	4_2_256_1024_2	28.44591332	28.33597851	28.55584813	43.915	43.80043818	44.02932097	43.41914783	43.30870382	43.52959185	0.623723214	0.622982499	0.624463929	62.33728739	4	2	256	1024	7313920	0.167	2.00	6	2
deu	dsb	4000	bpe.nof	4_4_256_512_2	27.93157887	27.82052567	28.04263208	43.576	43.45976629	43.69131389	43.03099088	42.91928467	43.14269708	0.6261676893	0.625411811	0.6269235676	62.57193297	4	4	256	512	7319552	0.168	1.00	8	0
eng	mni	4000	bpe.nof	4_4_256_512_2	16.06342425	15.93535379	16.1914947	43.386	43.26391471	43.50777428	39.58856532	39.4649917	39.71213893	0.6885382223	0.6879810047	0.68909544	68.83408666	4	4	256	512	7319552	0.169	1.00	8	0
deu	dsb	4000	bpe.nof	2_4_256_1024_2	28.05855658	27.94428611	28.17282705	43.701	43.58805463	43.81420767	43.12778959	43.01714529	43.23843389	0.6275302143	0.6268129626	0.628247466	62.72130236	2	4	256	1024	7841280	0.179	0.50	6	-2
eng	mni	4000	bpe.nof	2_4_256_1024_2	16.1505637	16.01908397	16.28204343	44.328	44.20779783	44.44855362	40.45938239	40.33731733	40.58144746	0.6880736809	0.6875147164	0.6886326454	68.78155528	2	4	256	1024	7841280	0.177	0.50	6	-2
eng_wiki	ita_wiki	4000	bpe.nof	4_4_256_256_2	13.46479523	13.41357602	13.51601443	45.156	45.09813814	45.21461711	41.86892605	41.81231276	41.92553934	0.6114895171	0.6105687668	0.6124102675	61.15649862	4	4	256	256	6268928	0.139	1.00	8	0
eng	mni	4000	bpe.nof	4_4_256_1024_2	18.02746141	17.8838288	18.17109402	44.451	44.32394592	44.57889393	40.80965575	40.67932505	40.93998645	0.6951190058	0.6945384773	0.6956995343	69.49529889	4	4	256	1024	9420800	0.212	4.00	8	0
eng	mni	4000	bpe.nof	6_4_256_1024_2	18.39243618	18.24799688	18.53687547	44.708	44.57887864	44.83681423	41.01736768	40.88523764	41.14949773	0.6956473726	0.6950534795	0.6962412657	69.53181548	6	4	256	1024	11000320	0.246	1.50	10	2
