src	tgt	voc	tok	model	bleu	low_conf_bleu	high_conf_bleu	chrf	low_conf_chrf	high_conf_chrf	chrf++	low_conf_chrf++	high_conf_chrf++	comet	low_conf_comet	high_conf_comet	norm_comet	enc_layers	dec_layers	embs	ffw	params	xPIES	PIES	REVx	REV	efficiency_score	enc/dec ratio	embs/ffw ratio	size_tag	layer sum	layer diff	embs/num_layers	embs/enc	embs/dec	lines	toks	toks/line	ffw/enc	ffw/dec
eng	mni	4000	bpe.nof	4_8_256_256_2	17.68556057	17.53861319	17.83250795	44.48274038	44.35306714	44.61241362	40.76811688	40.63550989	40.90072388	0.694840337	0.6942646223	0.6954160516	69.45323416	4	8	256	256	8906752	2.733532701	0.2002293906	1.056905774	1.057310018	-0.01799564948	0.500	1.000	small	12	-4	21.333	64.000	32.000	21688	715548	32.99280708	64.000	32.000
eng	akk	4000	bpe.nof	4_6_256_512_2	29.8665091	29.66563245	30.06738575	38.8114735	38.62371575	38.99923126	33.3463395	33.18381364	33.50886537	0.9335295856	0.9329405996	0.9341185716	93.35996456	4	6	256	512	8901120	12717719.63	0.2293424907	1.05272914	1.055552615	-0.1101718659	0.667	0.500	small	10	-2	25.600	64.000	42.667	45270	630535	13.92831898	128.000	85.333
eng_wiki	ita_wiki	4000	bpe.nof	6_2_256_1024_2	13.81134557	13.75975399	13.86293714	45.3466984	45.28916758	45.40422923	42.0873354	42.03087533	42.14379546	0.6103742689	0.6094529504	0.6112955873	60.9740983	6	2	256	1024	8893440	2.680249732	0.1961210036	1.079550388	1.069376069	0.4527162596	3.000	0.250	small	8	4	32.000	42.667	128.000	50000	1723391	34.46782	170.667	512.000
eng	akk	4000	bpe.nof	6_2_256_1024_2	29.44551096	29.23642672	29.65459521	38.23759494	38.06320387	38.411986	32.9094462	32.75369753	33.06519488	0.934001493	0.9334224737	0.9345805123	93.40436305	6	2	256	1024	8893440	12790698.88	0.2325836658	1.022709746	1.040842937	-0.7181752175	3.000	0.250	small	8	4	32.000	42.667	128.000	45270	630535	13.92831898	170.667	512.000
deu	dsb	4000	bpe.nof	6_2_256_1024_2	27.86043786	27.75454761	27.96632811	44.00131037	43.89050074	44.11212	43.34874964	43.24164442	43.45585487	0.6275922404	0.6268707614	0.6283137195	62.72793678	6	2	256	1024	8893440	2.76220129	0.2021176171	1.10876967	1.083751399	1.051718643	3.000	0.250	small	8	4	32.000	42.667	128.000	40195	1032701	25.69227516	170.667	512.000
eng	mni	4000	bpe.nof	6_2_256_1024_2	16.71142238	16.57462163	16.84822313	43.44335292	43.31814721	43.56855864	39.78403432	39.65660613	39.91146251	0.6890418496	0.6884654192	0.6896182801	68.90875848	6	2	256	1024	8893440	2.797677161	0.2047134809	1.009600263	1.034150461	-1.11904327	3.000	0.250	small	8	4	32.000	42.667	128.000	21688	715548	32.99280708	170.667	512.000
deu	dsb	4000	bpe.nof	4_8_256_256_2	28.06156108	27.95166473	28.17145743	43.14268622	43.03554118	43.24983126	42.69076081	42.58579037	42.79573125	0.6225651352	0.6218842303	0.62324604	62.20866264	4	8	256	256	8906752	2.818438908	0.2064487119	1.064326563	1.06101534	0.1419676068	0.500	1.000	small	12	-4	21.333	64.000	32.000	40195	1032701	25.69227516	64.000	32.000
eng_wiki	ita_wiki	4000	bpe.nof	4_6_256_512_2	13.6774802	13.62501134	13.72994906	45.06885666	45.01316958	45.12454374	41.83273595	41.77761174	41.88786016	0.6126387694	0.6117353344	0.6135422044	61.25269951	4	6	256	512	8901120	2.697471445	0.1975004617	1.065441914	1.061906925	0.1582624893	0.667	0.500	small	10	-2	25.600	64.000	42.667	50000	1723391	34.46782	128.000	85.333
eng	mni	4000	bpe.nof	2_8_256_512_2	18.61709215	18.46317788	18.77100642	45.95954254	45.83170937	46.08737571	42.15661269	42.02387694	42.28934844	0.6993168048	0.6987480448	0.6998855649	69.87806999	2	8	256	512	9428480	2.691267135	0.2051473857	1.06581609	1.031963142	1.458599366	0.250	0.500	small	10	-6	25.600	128.000	32.000	21688	715548	32.99280708	256.000	64.000
eng_wiki	ita_wiki	4000	bpe.nof	4_8_256_256_2	12.9722376	12.92182109	13.02265411	44.33970519	44.28515821	44.39425217	41.08820867	41.03401292	41.14240442	0.586875029	0.5859797641	0.5877702939	58.68324927	4	8	256	256	8906752	2.742350788	0.2008753094	1.030593965	1.044066135	-0.6130716069	0.500	1.000	small	12	-4	21.333	64.000	32.000	50000	1723391	34.46782	64.000	32.000
eng	akk	4000	bpe.nof	4_4_256_1024_2	30.17779615	29.96783094	30.38776136	38.91556795	38.73466536	39.09647055	33.46378534	33.30623784	33.62133284	0.932580629	0.9319886528	0.9331726053	93.24866578	4	4	256	1024	9420800	14227018.01	0.2420830659	1	1	0	1.000	0.250	small	8	0	32.000	64.000	64.000	45270	630535	13.92831898	256.000	256.000
deu	dsb	4000	bpe.nof	4_6_256_512_2	26.91291053	26.80219653	27.02362453	42.8556925	42.74418623	42.96719877	42.2449832	42.13679493	42.35317146	0.6239397573	0.6232073605	0.6246721541	62.36022172	4	6	256	512	8901120	2.836774926	0.2076998289	1.050877939	1.054624124	-0.1616920342	0.667	0.500	small	10	-2	25.600	64.000	42.667	40195	1032701	25.69227516	128.000	85.333
eng	mni	4000	bpe.nof	4_4_256_1024_2	17.38156961	17.24333172	17.51980749	44.4997541	44.37610355	44.62340464	40.77764972	40.65105998	40.90423946	0.6929000492	0.6923216518	0.6934784467	69.26911951	4	4	256	1024	9420800	2.77887316	0.2117045407	1	1	0	1.000	0.250	small	8	0	32.000	64.000	64.000	21688	715548	32.99280708	256.000	256.000
eng_wiki	ita_wiki	4000	bpe.nof	8_6_256_256_2	13.37177313	13.31983747	13.42370878	44.82221592	44.76530985	44.87912199	41.64135253	41.5854862	41.69721885	0.6012210746	0.6003283927	0.6021137565	60.07087893	8	6	256	256	9170944	2.736723296	0.2046071086	1.022807626	1.025023565	-0.09975414924	1.333	1.000	small	14	2	18.286	32.000	42.667	50000	1723391	34.46782	32.000	42.667
eng	mni	4000	bpe.nof	8_6_256_256_2	16.37017516	16.2348336	16.50551672	42.96474631	42.84200795	43.08748466	39.29633315	39.17081886	39.42184744	0.6865489871	0.6859540581	0.6871439162	68.64753489	8	6	256	256	9170944	2.855038445	0.2134527674	0.9575975445	0.9918097724	-1.576828011	1.333	1.000	small	14	2	18.286	32.000	42.667	21688	715548	32.99280708	32.000	42.667
eng	mni	4000	bpe.nof	4_6_256_512_2	14.69455762	14.57977407	14.80934117	41.51080634	41.3914941	41.63011858	37.87783996	37.75745381	37.99822612	0.6760592912	0.6754778365	0.676640746	67.61239295	4	6	256	512	8901120	2.928682063	0.2144289833	0.9209800969	0.987294429	-3.163453481	0.667	0.500	small	10	-2	25.600	64.000	42.667	21688	715548	32.99280708	128.000	85.333
eng	akk	4000	bpe.nof	8_4_256_512_2	29.66632661	29.46618146	29.86647175	38.25326476	38.06991804	38.43661147	32.89431055	32.73425421	33.05436688	0.9344435487	0.933871653	0.9350154444	93.43544781	8	4	256	512	9427968	14371494.94	0.2464617872	0.9655170569	0.9822336702	-0.6617996549	2.000	0.500	small	12	4	21.333	32.000	64.000	45270	630535	13.92831898	64.000	128.000
deu	dsb	4000	bpe.nof	8_6_256_256_2	28.05862188	27.94864616	28.16859761	43.5177723	43.40643623	43.62910838	42.96717778	42.85975197	43.0746036	0.6214052658	0.620670768	0.6221397635	62.12875302	8	6	256	256	9170944	2.818756476	0.2107401991	1.051717659	1.039408955	0.5231829127	1.333	1.000	small	14	2	18.286	32.000	42.667	40195	1032701	25.69227516	32.000	42.667
eng	akk	4000	bpe.nof	6_6_256_512_2	29.97706245	29.77366733	30.18045756	39.21130901	39.01992032	39.40269771	33.65738801	33.49195644	33.82281959	0.931674341	0.9310985722	0.9322501098	93.17163464	6	6	256	512	9955328	15827250.51	0.2538892031	0.9607450289	0.9534988604	0.2798619368	1.000	0.500	small	12	0	21.333	42.667	42.667	45270	630535	13.92831898	85.333	85.333
deu	dsb	4000	bpe.nof	2_8_256_512_2	28.83587574	28.71544689	28.95630459	43.91796297	43.80143455	44.0344914	43.43406435	43.31917278	43.54895592	0.6278673465	0.6271164923	0.6286182007	62.7482981	2	8	256	512	9428480	2.816373939	0.2146839098	1.041891725	1.020315171	0.9087570283	0.250	0.500	small	10	-6	25.600	128.000	32.000	40195	1032701	25.69227516	256.000	64.000
deu	dsb	4000	bpe.nof	12_4_256_256_2	28.58518301	28.47303333	28.69733269	43.07441983	42.96720571	43.18163394	42.75128127	42.64544264	42.85711991	0.6249444748	0.6242414304	0.6256475191	62.47184724	12	4	256	256	9435136	2.872136081	0.2190426717	1.001545318	1.000011772	0.06585450386	3.000	1.000	small	16	8	16.000	21.333	64.000	40195	1032701	25.69227516	21.333	64.000
eng_wiki	ita_wiki	4000	bpe.nof	12_4_256_256_2	13.51947594	13.46728833	13.57166355	45.23438552	45.17857204	45.290199	41.93251938	41.87784532	41.98719345	0.6092229885	0.6082647339	0.6101812432	60.88130203	12	4	256	256	9435136	2.734990072	0.2085832689	1.012536244	1.005483848	0.3145823979	3.000	1.000	small	16	8	16.000	21.333	64.000	50000	1723391	34.46782	21.333	64.000
